info,info.1,Dataset_ID,Project_ID,PMID,Publication_DOI,Data_Source,Data_Source_Link,Technology_Platform,Spatial_Resolution_μm,Species,Tissue/Organ/Cell_Line,Disease_State,Data_Size,Data_Status,Local_Path,File_name,Notes,Record_Type,Merged_From_IDs,Gene_Panel_Size,Unique_Genes_Count,Gene_Coverage,Estimated_Cell_Count,Total_Transcripts,Mean_Transcripts_Per_Cell,Spatial_X_Span_px,Spatial_Y_Span_px,Tissue_Area_mm2,Transcript_Density_mm2,SCRIN_Standard_Path
Xenium Homo sapiens Skin 数据集 (Unknown/Disease),Xenium Homo sapiens Skin dataset (Unknown/Disease) - Xenium_Prime_Human_Skin_FFPE_outs,35,35,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Skin,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P035/,Xenium_Prime_Human_Skin_FFPE_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Skin 数据集 (Cancer),Xenium Homo sapiens Skin dataset (Cancer) - Xenium_V1_hSkin_Melanoma_Base_FFPE_outs,36,36,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Skin,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P036/,Xenium_V1_hSkin_Melanoma_Base_FFPE_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Skin 数据集 (Normal),Xenium Homo sapiens Skin dataset (Normal) - Xenium_V1_hSkin_nondiseased_section_1_FFPE_outs,37,37,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Skin,Normal,TBD,1,/data3/yangxr002/Xenium/Xenium_P037/,Xenium_V1_hSkin_nondiseased_section_1_FFPE_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Skin 数据集 (Cancer),Xenium Homo sapiens Skin dataset (Cancer) - Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE_outs,38,38,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Skin,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P038/,Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Bone 数据集 (Unknown/Disease),Xenium Mus musculus Bone dataset (Unknown/Disease) - Xenium_V1_mFemur_EDTA_3daydecal_section_outs,39,39,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Bone,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P039/,Xenium_V1_mFemur_EDTA_3daydecal_section_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Bone 数据集 (Unknown/Disease),Xenium Mus musculus Bone dataset (Unknown/Disease) - Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_outs,40,40,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Bone,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P040/,Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Bone 数据集 (Unknown/Disease),Xenium Mus musculus Bone dataset (Unknown/Disease) - Xenium_V1_mFemur_formic_acid_24hrdecal_section_outs,41,41,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Bone,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P041/,Xenium_V1_mFemur_formic_acid_24hrdecal_section_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Unknown/Disease),Xenium Mus musculus Brain dataset (Unknown/Disease) - Xenium_Prime_Mouse_Brain_Coronal_FF_outs,42,42,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P042/,Xenium_Prime_Mouse_Brain_Coronal_FF_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Unknown/Disease),Xenium Mus musculus Brain dataset (Unknown/Disease) - Xenium_V1_FFPE_TgCRND8_17_9_months_outs,43,43,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P043/,Xenium_V1_FFPE_TgCRND8_17_9_months_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Unknown/Disease),Xenium Mus musculus Brain dataset (Unknown/Disease) - Xenium_V1_FFPE_TgCRND8_2_5_months_outs,44,44,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P044/,Xenium_V1_FFPE_TgCRND8_2_5_months_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Unknown/Disease),Xenium Mus musculus Brain dataset (Unknown/Disease) - Xenium_V1_FFPE_TgCRND8_5_7_months_outs,45,45,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P045/,Xenium_V1_FFPE_TgCRND8_5_7_months_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Normal),Xenium Mus musculus Brain dataset (Normal) - Xenium_V1_FFPE_wildtype_13_4_months_outs,46,46,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Normal,TBD,1,/data3/yangxr002/Xenium/Xenium_P046/,Xenium_V1_FFPE_wildtype_13_4_months_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Normal),Xenium Mus musculus Brain dataset (Normal) - Xenium_V1_FFPE_wildtype_2_5_months_outs,47,47,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Normal,TBD,1,/data3/yangxr002/Xenium/Xenium_P047/,Xenium_V1_FFPE_wildtype_2_5_months_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Normal),Xenium Mus musculus Brain dataset (Normal) - Xenium_V1_FFPE_wildtype_5_7_months_outs,48,48,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Normal,TBD,1,/data3/yangxr002/Xenium/Xenium_P048/,Xenium_V1_FFPE_wildtype_5_7_months_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Unknown/Disease),Xenium Mus musculus Brain dataset (Unknown/Disease) - Xenium_V1_FF_Mouse_Brain_MultiSection_1_outs,49,49,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P049/,Xenium_V1_FF_Mouse_Brain_MultiSection_1_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Unknown/Disease),Xenium Mus musculus Brain dataset (Unknown/Disease) - Xenium_V1_FF_Mouse_Brain_MultiSection_2_outs,50,50,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P050/,Xenium_V1_FF_Mouse_Brain_MultiSection_2_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Brain 数据集 (Unknown/Disease),Xenium Mus musculus Brain dataset (Unknown/Disease) - Xenium_V1_FF_Mouse_Brain_MultiSection_3_outs,51,51,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Brain,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P051/,Xenium_V1_FF_Mouse_Brain_MultiSection_3_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Colon 数据集 (Unknown/Disease),Xenium Mus musculus Colon dataset (Unknown/Disease) - Xenium_V1_mouse_Colon_FF_outs,52,52,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Colon,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P052/,Xenium_V1_mouse_Colon_FF_outs,,Standard,,,,,,,,,,,,
Xenium Mus musculus Whole_Body 数据集 (Unknown/Disease),Xenium Mus musculus Whole_Body dataset (Unknown/Disease) - Xenium_V1_mouse_pup_outs,53,53,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Mus musculus,Whole_Body,Unknown/Disease,TBD,1,/data3/yangxr002/Xenium/Xenium_P053/,Xenium_V1_mouse_pup_outs,,Standard,,,,,,,,,,,,Xenium 人类乳腺癌空间转录组数据集 (GEO),High resolution mapping of the breast cancer tumor microenvironment (Xenium),49,49,38102143,10.1038/s41467-023-43458-x,GEO (GSE243275),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243275,Xenium,Subcellular,Homo sapiens,Breast,Cancer (DCIS/IDC),, 0,,,,,,,,,,,,,,,,
Xenium 小鼠大脑空间转录组数据集 (GEO),Spatial transcriptomic atlas of mouse brain using Xenium,50,50,37751739,10.1038/s41467-023-41595-1,GEO (GSE231780),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231780,Xenium,Subcellular,Mus musculus,Brain,Normal,, 0,,,,,,,,,,,,,,,,
Xenium 人类心脏发育空间转录组数据集,Human heart development mapped by Xenium,51,51,38503893,10.1038/s41586-024-07172-8,ArrayExpress (E-MTAB-13511),https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13511,Xenium,Subcellular,Homo sapiens,Heart,Normal,, 0,,,,,,,,,,,,,,,,
